Avg of 3 Human Tox	AD.1.SRR1658350	AD.2.SRR1658353	AD.3.SRR1658349	AD.4.SRR1658351	AD.5.SRR1658348	AD.6.SRR1658347	Control.10.SRR1658359	Control.11.SRR1658360	Control.12.SRR1658357	Control.13.SRR1658356	Control.14.SRR1658345	Control.15.SRR1658355	Control.16.SRR1658346	TPD.7.SRR1658354	TPD.8.SRR1658352	TPD.9.SRR1658358
17	137.493	199.18	6.575	49.951	53.029	24.918	409.695	443.113	312.575	661.322	6.859	326.458	14.526	337.684	0	267.141
18	966.43	260.285	293.017	267.426	639.108	428.326	558.787	80.893	298.8	266.096	428.867	437.704	286.292	278.335	320.162	469.131
19	567.923	220.993	224.618	143.704	243.68	125.609	204.167	124.035	158.753	302.701	333.484	175.134	206.306	164.092	148.938	696.577
20	110.373	207.854	27.435	71.466	282.764	78.829	463.154	265.648	312.487	343.057	94.956	313.072	162.912	216.758	45.542	363.549
21	219.482	224.587	226.886	221.657	189.365	184.245	174.77	141.311	144.975	245.485	288.889	178.183	237.382	137.701	262.33	235.812
22	3443.122	18687.491	12391.489	4313.048	6370.526	8399.619	13226.356	15889.922	15904.562	12844.291	4478.973	11135.656	14712.921	10844.006	5789.804	10310.189
23	113.47	121.341	74.518	97.167	103.674	138.948	45.149	34.754	47.535	43.472	150.839	98.623	149.306	57.473	156.132	43.141
24	15632.388	10345.529	3171.485	17484.762	14413.401	13352.98	7681.383	8323.255	9710.311	4833.517	9737.328	5821.844	18268.689	11918.402	9672.14	10806.834
25	7040.485	3815.014	3394.82	6207.475	16862.854	3127.142	3542.631	2459.939	2489.482	2141.321	4636.246	2840.176	2442.958	4619.544	4673.578	3314.492
26	7058.439	14190.168	7794.221	6163.762	7292.939	5428.01	11500.867	8679.691	11208.335	9761.493	6032.373	8119.158	9241.177	10233.744	6813.618	10274.092
27	84.391	71.64	68.928	53.878	52.113	62.619	75.662	85.787	75.179	109.271	104.933	121.501	79.433	87.382	107.478	71.17
28	288.323	529.739	279.941	284.844	232.119	346.719	340.607	343.345	498.609	328.675	564.832	694.262	709.024	903.031	436.444	521.807
29	281.939	122.086	140.574	117.916	611.585	301.329	64.002	88.583	180.283	176.466	302.669	121.922	248.416	272.705	163.878	212.48
30	168.341	216.035	231.95	263.925	329.372	293.455	467.374	300.5	257.653	266.524	329.183	326.711	299.347	458.612	261.184	496.643
31	2202.784	482.519	2753.84	344.357	1347.208	520.496	272.881	361.42	424.432	455.98	630.629	525.227	273.974	373.222	522.454	334.641
32	338.959	346.177	238.674	375.778	382.767	329.953	257.998	440.916	374.346	237.755	310.606	562.341	205.572	442.893	331.305	271.616
33	332.638	1270.058	288.558	192.628	306.252	604.883	1230.574	1302.174	1165.55	911.318	313.896	1284.479	338.698	1306.283	291.324	1172.528
34	2764.825	5120.77	3708.545	3511.965	5532.324	3223.567	3604.153	3598.025	5118.287	2085.508	2242.813	5804.81	3738.91	4691.329	4083.606	7682.583
35	7785.981	2102.101	4376.352	7590.627	14109.723	7321.946	6930.716	6940.493	7872.085	6079.085	5085.029	8288.192	17407.058	6848.92	5032.181	8441.158
36	5450.825	2893.113	6218.571	5501.086	8858.691	4894.448	2945.018	1981.374	2674.42	6605.481	18297.841	4872.461	5601.008	4460.855	6959.135	18783.415
37	180.668	129.398	211.998	167.098	199.458	255.567	120.067	161.386	118.882	178.721	233.712	99.047	199.135	116.236	180.159	104.994
38	487.763	1776.002	517.786	427.011	365.701	539.483	2061.747	2722.687	2249.443	2794.815	517.57	2184.292	369.401	1858.614	493.965	1996.183
39	582.085	833.9	381.897	458.174	579.655	565.329	862.556	710.361	1069.658	549.044	526.062	815.171	505.104	687.685	494.718	921.162
40	1041.716	1478.413	1266.086	1253.105	761.679	1061.183	1471.704	2373.854	1616.441	1910.972	1948.265	2351.969	1698.819	2072.905	1652.554	2069.771
41	786.773	730.405	2024.587	811.754	2535.326	944.838	532.986	501.134	868.301	1351.303	2283.537	1064.439	720.969	674.194	972.843	670.823
42	2122.311	730.897	1322.011	1559.382	2610.192	1354.637	1547.861	1200.008	1016.195	1070.286	1075.779	874.394	1735.223	861.51	1017.415	947.719
