DicerKO.avg.miRNA	DroshaKO.avg.miRNA	Wildtype.avg.miRNA
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.6	84.2
84.2	74.6	84.2
84.2	74.6	84.2
84.2	75.2	84.2
84.2	76.2	84.2
84.2	76.4	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	78.6	84.2
84.2	79.6	84.2
84.2	80.2	84.2
84.2	80.2	84.2
84.2	80.4	84.2
84.2	80.4	84.2
84.2	81.4	84.2
84.2	81.4	84.2
84.2	81.4	84.2
84.2	81.9	84.2
84.2	83.7	84.2
84.2	84.2	84.2
84.2	84.2	84.2
84.2	84.2	84.2
84.2	84.2	84.2
84.2	84.4	84.2
84.2	85.8	84.2
84.2	85.8	84.2
84.2	87.5	84.2
84.2	88	84.8
84.2	88.8	85.3
84.2	88.8	85.3
84.2	89	85.3
84.2	89	86.4
84.2	89	86.4
84.2	89	86.4
84.2	89	86.4
84.2	89	86.4
84.2	89	86.9
84.2	89	87.2
84.2	89	87.6
84.2	89	87.9
84.2	89	87.9
84.2	89	88.4
84.2	89	88.7
84.2	89	88.8
84.2	89	88.8
84.2	89	88.8
84.2	89	88.8
84.2	89	88.8
84.2	89	89
84.2	89	89
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
84.2	89	89.8
85.3	89	89.8
85.8	89	89.8
85.8	89	89.8
85.8	89	89.8
85.8	89.4	89.8
85.8	89.4	89.8
86.4	89.6	89.8
87.4	89.6	89.8
87.5	89.6	89.8
87.5	89.6	89.8
87.5	89.6	89.8
88.8	89.6	89.8
89.8	89.8	89.8
89.8	89.8	89.8
89.8	89.8	89.8
89.8	89.8	89.8
89.8	89.8	90.2
89.8	89.8	90.2
89.8	89.8	90.2
89.8	89.8	90.2
89.8	89.8	90.2
89.8	89.8	90.2
89.8	89.8	90.9
89.8	89.8	91.1
89.8	90.2	91.1
89.8	91.1	91.1
89.8	93.3	91.1
89.8	95.8	91.1
89.8	96.9	91.1
90.2	98.3	91.1
90.2	98.3	91.1
90.2	100	91.1
90.2	100	91.1
91.1	100	91.1
95.8	100	91.1
95.9	100	91.1
98.3	100	91.1
98.3	100	91.1
98.3	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	91.1
100	100	93.9
100	100	95.5
101.6	100	98.3
		98.3
		98.3
		100.9
		101.6
		101.6
