Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
35.6	90.996	111.212	13.244	39.562	7.783	7.077
35.7	192.332	207.205	568.265	521.89	11.344	12.908
35.8	953.402	1259.611	509.576	758.456	28.57	29.325
36	188.198	239.982	175.78	201.399	9.623	9.853
36.1	85.826	91.313	1190.404	1147.673	7.008	6.739
36.2	417.763	120.576	748.551	374.031	139.15	110.542
36.3	12.408	7.024	34.313	25.174	6.238	5.716
36.4	7.238	7.024	5.719	8.392	79.735	73.356
36.5	137.529	142.82	68.024	74.727	1.901	2.379
36.6	179.925	167.403	111.668	117.485	8.556	5.603
36.7	15.51	26.925	9.331	11.987	0.832	0.567
36.8	89.96	94.824	923.13	990.626	133.145	112.697
36.9	20.68	23.413	257.348	245.36	8.793	6.851
37	16.545	21.071	16.555	19.182	16.577	17.885
37.1	81.69	62.045	47.858	58.742	3.505	2.548
37.2	3640.94	3734.352	1517.273	1436.188	462.661	417.036
37.3	0	1.171	0	0	28.044	25.187
37.6	28.952	43.315	16.254	19.981	89.361	80.258
37.7	0	0	0	0.8	6.773	6.849
37.8	34.122	36.29	144.477	127.075	11.05	9.907
37.9	9969.418	9202.425	6536.827	6397.299	173.364	167.434
38	50.668	40.973	22.575	27.173	1.008	0.397
38.1	9.306	25.754	19.264	20.38	0.652	1.02
38.2	99.268	128.772	182.399	165.437	8.615	10.867
38.3	20.681	32.778	145.979	115.487	12.774	12.567
38.5	4.136	8.195	58.09	47.552	0.178	0.34
38.6	20.681	9.366	61.403	75.926	11.763	10.416
38.7	551.152	540.838	437.335	467.537	29.94	24.117
38.8	22.75	26.924	2.408	4.795	0.178	0.284
39	13.442	30.437	68.024	87.913	2.314	2.321
39.1	0	0	9.03	7.992	0.238	0.17
39.2	29.987	26.926	447.567	454.753	8.912	9.396
39.3	8.272	5.854	13.545	12.388	0.237	0.34
39.4	34.125	28.095	10.234	15.984	0.891	0.736
39.5	179.926	201.352	704.61	767.244	37.787	38.944
39.6	2.068	2.341	4.515	6.793	3.862	3.622
39.7	17485.011	17464.804	7975.84	8348.184	314.292	324.11
39.8	8.272	16.389	8.729	9.19	47.71	43.469
39.9	5.17	15.218	12.942	12.388	0.357	0.283
4	0	1.171	116.182	104.696	5.346	5.491
4.5	19.647	26.925	5.418	3.197	1.782	1.358
4.7	86.861	50.337	781.06	773.639	4.872	3.905
40	330.897	390.999	322.659	319.687	28.813	25.358
40.1	323.66	284.467	153.506	131.069	30.478	26.434
40.3	38.259	29.268	24.983	23.979	312.94	354.718
40.4	8.272	4.683	5.719	2.798	207.183	196.46
40.5	16.544	8.195	179.09	166.637	11.763	10.471
40.6	51.701	58.533	46.956	98.702	3.862	2.154
40.7	128.222	200.181	162.233	231.771	196.484	202.181
40.8	7.238	5.853	3.010	3.197	0.535	0
40.9	18.612	19.901	141.165	137.865	3.324	2.436
41	12.408	12.877	9.331	11.189	0.178	0.339
41.2	67.213	63.215	4.816	7.193	4.871	4.472
41.3	14798.509	14164.768	23319.486	22462.695	1784.651	1667.515
41.4	107.541	97.164	34.013	53.148	273.786	258.102
41.5	11.374	14.048	0.602	5.195	4.872	3.396
41.6	139.597	141.648	902.358	874.338	937.158	1008.682
41.7	5.17	10.536	11.739	7.992	0.415	0.396
